# Cycle: 124, status: ACC, move: None
#     Time       Orderp
         0    -0.712180
         1    -0.694491
         2    -0.676240
         3    -0.661880
         4    -0.650745
         5    -0.644212
         6    -0.641656
         7    -0.643486
         8    -0.645037
         9    -0.644886
        10    -0.649347
        11    -0.660310
        12    -0.672820
        13    -0.684583
        14    -0.690951
        15    -0.689966
        16    -0.677137
        17    -0.655860
        18    -0.631583
        19    -0.607252
        20    -0.583555
        21    -0.564798
        22    -0.554795
        23    -0.553930
        24    -0.561793
        25    -0.574235
        26    -0.590742
        27    -0.610382
        28    -0.635809
        29    -0.667622
        30    -0.704646
