# Cycle: 106, status: ACC, move: None
#     Time       Orderp
         0    -0.712180
         1    -0.694491
         2    -0.676474
         3    -0.660431
         4    -0.653086
         5    -0.647830
         6    -0.645268
         7    -0.644423
         8    -0.645594
         9    -0.647010
        10    -0.649201
        11    -0.650209
        12    -0.651975
        13    -0.652001
        14    -0.655837
        15    -0.659417
        16    -0.657428
        17    -0.653454
        18    -0.650968
        19    -0.646311
        20    -0.635094
        21    -0.614107
        22    -0.593864
        23    -0.578405
        24    -0.573000
        25    -0.575781
        26    -0.583950
        27    -0.598599
        28    -0.616632
        29    -0.638587
        30    -0.663298
        31    -0.689873
        32    -0.715260
