# Cycle: 107, status: ACC, move: ('wf', 9000, 3, 18)
#     Time       Orderp
         0    -0.714841
         1    -0.641189
         2    -0.569600
         3    -0.502805
         4    -0.440297
         5    -0.390121
         6    -0.353883
         7    -0.330611
         8    -0.316078
         9    -0.313301
        10    -0.324643
        11    -0.345176
        12    -0.374028
        13    -0.417742
        14    -0.478901
        15    -0.555991
        16    -0.647083
        17    -0.738008
