# Cycle: 34, status: ACC
#     Step              Filename       index    vel
         0  006_5730_128_trajB.traj           7     -1
         1  006_5730_128_trajB.traj           6     -1
         2  006_5730_128_trajB.traj           5     -1
         3  006_5730_128_trajB.traj           4     -1
         4  006_5730_128_trajB.traj           3     -1
         5  006_5730_128_trajB.traj           2     -1
         6  006_5730_128_trajB.traj           1     -1
         7  006_5730_128_trajB.traj           0     -1
         8  006_5730_126_trajB.traj           0     -1
         9  006_5730_127_trajF.traj           1      1
        10  006_5730_127_trajF.traj           2      1
        11  006_5730_127_trajF.traj           3      1
        12  006_5730_127_trajF.traj           4      1
        13  006_5730_127_trajF.traj           5      1
        14  006_5730_127_trajF.traj           6      1
        15  006_5730_127_trajF.traj           7      1
        16  006_5730_127_trajF.traj           8      1
        17  006_5730_127_trajF.traj           9      1
        18  006_5730_127_trajF.traj          10      1
        19  006_5730_127_trajF.traj          11      1
        20  006_5730_127_trajF.traj          12      1
        21  006_5730_127_trajF.traj          13      1
        22  006_5730_127_trajF.traj          14      1
        23  006_5730_127_trajF.traj          15      1
        24  006_5730_127_trajF.traj          16      1
        25  006_5730_127_trajF.traj          17      1
        26  006_5730_127_trajF.traj          18      1
        27  006_5730_129_trajF.traj           0      1
        28  006_5730_129_trajF.traj           1      1
        29  006_5730_129_trajF.traj           2      1
        30  006_5730_129_trajF.traj           3      1
        31  006_5730_129_trajF.traj           4      1
        32  006_5730_129_trajF.traj           5      1
        33  006_5730_129_trajF.traj           6      1
        34  006_5730_129_trajF.traj           7      1
