# Cycle: 72, status: ACC, move: ('wf', 9000, 3, 29)
#     Time       Orderp
         0    -0.722030
         1    -0.680136
         2    -0.635886
         3    -0.584231
         4    -0.532590
         5    -0.487222
         6    -0.446376
         7    -0.411520
         8    -0.384206
         9    -0.367844
        10    -0.354146
        11    -0.339721
        12    -0.323242
        13    -0.312898
        14    -0.299351
        15    -0.293372
        16    -0.300703
        17    -0.312701
        18    -0.334207
        19    -0.364060
        20    -0.395476
        21    -0.427713
        22    -0.460301
        23    -0.492057
        24    -0.525899
        25    -0.563886
        26    -0.612377
        27    -0.671434
        28    -0.736912
