# Cycle: 141, status: ACC, move: ('wf', 9000, 3, 21)
#     Time       Orderp
         0    -0.732276
         1    -0.681097
         2    -0.632430
         3    -0.589571
         4    -0.551868
         5    -0.515139
         6    -0.481289
         7    -0.450680
         8    -0.422514
         9    -0.402379
        10    -0.396491
        11    -0.404612
        12    -0.426573
        13    -0.462949
        14    -0.505190
        15    -0.550228
        16    -0.589810
        17    -0.627260
        18    -0.656668
        19    -0.682436
        20    -0.707365
