# Cycle: 69, status: ACC, move: ('wf', 9000, 3, 29)
#     Time       Orderp
         0    -0.760475
         1    -0.672901
         2    -0.585268
         3    -0.506210
         4    -0.441567
         5    -0.386758
         6    -0.341163
         7    -0.301791
         8    -0.270358
         9    -0.240481
        10    -0.212801
        11    -0.188444
        12    -0.169428
        13    -0.156664
        14    -0.150212
        15    -0.157587
        16    -0.170309
        17    -0.187016
        18    -0.207795
        19    -0.238161
        20    -0.266817
        21    -0.298767
        22    -0.344931
        23    -0.400583
        24    -0.463646
        25    -0.537181
        26    -0.612477
        27    -0.687802
        28    -0.746767
