# Cycle: 114, status: ACC
#     Step              Filename       index    vel
         0  008_5730_377_trajF.traj          10     -1
         1  008_5730_377_trajF.traj           9     -1
         2  008_5730_377_trajF.traj           8     -1
         3  008_5730_377_trajF.traj           7     -1
         4  008_5730_377_trajF.traj           6     -1
         5  008_5730_377_trajF.traj           5     -1
         6  008_5730_377_trajF.traj           4     -1
         7  008_5730_377_trajF.traj           3     -1
         8  008_5730_377_trajF.traj           2     -1
         9  008_5730_377_trajF.traj           1     -1
        10  008_5730_377_trajF.traj           0     -1
        11  008_5730_375_trajF.traj          10     -1
        12  008_5730_375_trajF.traj           9     -1
        13  008_5730_375_trajF.traj           8     -1
        14  008_5730_375_trajF.traj           7     -1
        15  008_5730_375_trajF.traj           6     -1
        16  008_5730_375_trajF.traj           5     -1
        17  008_5730_375_trajF.traj           4     -1
        18  008_5730_375_trajF.traj           3     -1
        19  008_5730_375_trajF.traj           2     -1
        20  008_5730_375_trajF.traj           1     -1
        21  008_5730_374_trajB.traj           0      1
        22  008_5730_374_trajB.traj           1      1
        23  008_5730_374_trajB.traj           2      1
        24  008_5730_374_trajB.traj           3      1
        25  008_5730_374_trajB.traj           4      1
        26  008_5730_374_trajB.traj           5      1
        27  008_5730_374_trajB.traj           6      1
        28  008_5730_376_trajB.traj           0      1
        29  008_5730_376_trajB.traj           1      1
        30  008_5730_376_trajB.traj           2      1
        31  008_5730_376_trajB.traj           3      1
        32  008_5730_376_trajB.traj           4      1
        33  008_5730_376_trajB.traj           5      1
        34  008_5730_376_trajB.traj           6      1
        35  008_5730_376_trajB.traj           7      1
        36  008_5730_376_trajB.traj           8      1
        37  008_5730_376_trajB.traj           9      1
