# Cycle: 101, status: ACC
#     Step              Filename       index    vel
         0  008_5731_334_trajF.traj           9     -1
         1  008_5731_334_trajF.traj           8     -1
         2  008_5731_334_trajF.traj           7     -1
         3  008_5731_334_trajF.traj           6     -1
         4  008_5731_334_trajF.traj           5     -1
         5  008_5731_334_trajF.traj           4     -1
         6  008_5731_334_trajF.traj           3     -1
         7  008_5731_334_trajF.traj           2     -1
         8  008_5731_334_trajF.traj           1     -1
         9  008_5731_334_trajF.traj           0     -1
        10  008_5731_332_trajF.traj          12     -1
        11  008_5731_332_trajF.traj          11     -1
        12  008_5731_332_trajF.traj          10     -1
        13  008_5731_332_trajF.traj           9     -1
        14  008_5731_332_trajF.traj           8     -1
        15  008_5731_332_trajF.traj           7     -1
        16  008_5731_332_trajF.traj           6     -1
        17  008_5731_332_trajF.traj           5     -1
        18  008_5731_332_trajF.traj           4     -1
        19  008_5731_332_trajF.traj           3     -1
        20  008_5731_332_trajF.traj           2     -1
        21  008_5731_332_trajF.traj           1     -1
        22  008_5731_331_trajB.traj           0      1
        23  008_5731_331_trajB.traj           1      1
        24  008_5731_331_trajB.traj           2      1
        25  008_5731_331_trajB.traj           3      1
        26  008_5731_331_trajB.traj           4      1
        27  008_5731_331_trajB.traj           5      1
        28  008_5731_331_trajB.traj           6      1
        29  008_5731_331_trajB.traj           7      1
        30  008_5731_331_trajB.traj           8      1
        31  008_5731_331_trajB.traj           9      1
        32  008_5731_331_trajB.traj          10      1
        33  008_5731_331_trajB.traj          11      1
        34  008_5731_331_trajB.traj          12      1
        35  008_5731_331_trajB.traj          13      1
        36  008_5731_331_trajB.traj          14      1
        37  008_5731_331_trajB.traj          15      1
        38  008_5731_331_trajB.traj          16      1
        39  008_5731_331_trajB.traj          17      1
        40  008_5731_331_trajB.traj          18      1
        41  008_5731_331_trajB.traj          19      1
        42  008_5731_331_trajB.traj          20      1
        43  008_5731_331_trajB.traj          21      1
        44  008_5731_333_trajB.traj           0      1
        45  008_5731_333_trajB.traj           1      1
        46  008_5731_333_trajB.traj           2      1
        47  008_5731_333_trajB.traj           3      1
        48  008_5731_333_trajB.traj           4      1
        49  008_5731_333_trajB.traj           5      1
        50  008_5731_333_trajB.traj           6      1
        51  008_5731_333_trajB.traj           7      1
        52  008_5731_333_trajB.traj           8      1
