# Cycle: 19, status: ACC, move: ('wf', 9000, 3, 25)
#     Time       Orderp
         0    -0.728684
         1    -0.699959
         2    -0.673218
         3    -0.648216
         4    -0.621291
         5    -0.591466
         6    -0.554233
         7    -0.514408
         8    -0.478494
         9    -0.443819
        10    -0.409656
        11    -0.375461
        12    -0.345153
        13    -0.325735
        14    -0.312791
        15    -0.309210
        16    -0.319035
        17    -0.336646
        18    -0.360298
        19    -0.390965
        20    -0.435283
        21    -0.495869
        22    -0.567193
        23    -0.643425
        24    -0.715286
