# Cycle: 12, status: ACC, move: ('wf', 9000, 2, 31)
#     Time       Orderp
         0    -0.748170
         1    -0.674904
         2    -0.592313
         3    -0.513631
         4    -0.439551
         5    -0.372278
         6    -0.317665
         7    -0.271757
         8    -0.230850
         9    -0.196895
        10    -0.174895
        11    -0.161509
        12    -0.158581
        13    -0.158988
        14    -0.165204
        15    -0.182658
        16    -0.205156
        17    -0.228972
        18    -0.258342
        19    -0.290855
        20    -0.321325
        21    -0.352385
        22    -0.391563
        23    -0.442612
        24    -0.490867
        25    -0.532975
        26    -0.569550
        27    -0.607397
        28    -0.641545
        29    -0.672594
        30    -0.700071
