# Cycle: 17, status: ACC, move: None
#     Time       Orderp
         0    -0.710198
         1    -0.683728
         2    -0.647062
         3    -0.607418
         4    -0.565707
         5    -0.525778
         6    -0.496964
         7    -0.477472
         8    -0.467149
         9    -0.465124
        10    -0.470576
        11    -0.483526
        12    -0.498122
        13    -0.522172
        14    -0.555244
        15    -0.599649
        16    -0.648473
        17    -0.694296
        18    -0.735012
