# Cycle: 18, status: ACC, move: ('wf', 9000, 3, 26)
#     Time       Orderp
         0    -0.714143
         1    -0.635551
         2    -0.556313
         3    -0.486574
         4    -0.424781
         5    -0.373733
         6    -0.327851
         7    -0.283130
         8    -0.241231
         9    -0.206262
        10    -0.180911
        11    -0.163323
        12    -0.153488
        13    -0.151681
        14    -0.163098
        15    -0.185087
        16    -0.219972
        17    -0.262454
        18    -0.309959
        19    -0.368861
        20    -0.432422
        21    -0.501840
        22    -0.573889
        23    -0.640427
        24    -0.699534
        25    -0.744148
