# Cycle: 18, status: ACC
#     Step              Filename       index    vel
         0  007_5730_64_trajB.traj           8     -1
         1  007_5730_64_trajB.traj           7     -1
         2  007_5730_64_trajB.traj           6     -1
         3  007_5730_64_trajB.traj           5     -1
         4  007_5730_64_trajB.traj           4     -1
         5  007_5730_64_trajB.traj           3     -1
         6  007_5730_64_trajB.traj           2     -1
         7  007_5730_64_trajB.traj           1     -1
         8  007_5730_64_trajB.traj           0     -1
         9  007_5730_62_trajB.traj           6     -1
        10  007_5730_62_trajB.traj           5     -1
        11  007_5730_62_trajB.traj           4     -1
        12  007_5730_62_trajB.traj           3     -1
        13  007_5730_62_trajB.traj           2     -1
        14  007_5730_62_trajB.traj           1     -1
        15  007_5730_62_trajB.traj           0     -1
        16  007_5730_63_trajF.traj           1      1
        17  007_5730_65_trajF.traj           0      1
        18  007_5730_65_trajF.traj           1      1
        19  007_5730_65_trajF.traj           2      1
        20  007_5730_65_trajF.traj           3      1
        21  007_5730_65_trajF.traj           4      1
        22  007_5730_65_trajF.traj           5      1
        23  007_5730_65_trajF.traj           6      1
        24  007_5730_65_trajF.traj           7      1
        25  007_5730_65_trajF.traj           8      1
